epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2983,3.01305,5.77134,1.99056,4e-05,0.00172,2e-05,0,2.60015,4.59648,1.84483,0.00025553,0.00025553,0.00025553
2,60.2418,2.69065,4.10967,1.74811,0.00026,0.01034,0.0018,0.00075,2.82471,4.51024,2.0502,0.000513554,0.000513554,0.000513554
3,80.9481,2.72851,3.86511,1.78488,0.00184,0.37069,0.01015,0.00279,2.72467,3.92715,1.95382,0.000762779,0.000762779,0.000762779
4,103.45,2.66504,3.55971,1.75157,0.86549,0.00862,0.02278,0.007,2.71733,3.29203,1.92935,0.00100321,0.00100321,0.00100321
5,125.992,2.59375,3.52261,1.65143,0.83893,0.03448,0.02236,0.00653,2.87309,2.98083,1.94341,0.00103767,0.00103767,0.00103767
6,147.73,2.60038,3.25774,1.71046,0.84562,0.02414,0.03817,0.00873,2.6997,2.66923,1.98609,0.00101934,0.00101934,0.00101934
7,171.671,2.60297,3.18645,1.67842,0.84638,0.04828,0.02818,0.00815,2.58897,2.57777,1.76841,0.00100101,0.00100101,0.00100101
8,196.91,2.58272,3.12616,1.67415,0.64363,0.03103,0.02121,0.00646,2.55154,2.6487,1.79021,0.000982679,0.000982679,0.000982679
9,219.097,2.47844,2.85653,1.70071,0.65822,0.09138,0.03114,0.00972,2.56351,2.66513,1.84294,0.000964348,0.000964348,0.000964348
10,240.122,2.48769,2.8581,1.63966,0.63375,0.03793,0.01643,0.005,2.71918,2.83081,2.05451,0.000946016,0.000946016,0.000946016
11,262.973,2.46302,2.7532,1.68542,0.65157,0.03793,0.03464,0.00813,2.71149,2.66427,1.94303,0.000927685,0.000927685,0.000927685
12,286.977,2.40248,2.64203,1.6152,0.42806,0.06552,0.03859,0.01113,2.62399,2.54034,1.89772,0.000909353,0.000909353,0.000909353
13,309.274,2.433,2.58803,1.60702,0.36551,0.0954,0.07061,0.01802,2.48242,2.46974,1.74207,0.000891022,0.000891022,0.000891022
14,331.403,2.36674,2.47261,1.62944,0.49748,0.08448,0.09339,0.03404,2.56456,2.45831,1.80285,0.000872691,0.000872691,0.000872691
15,353.439,2.38821,2.53917,1.59062,0.5488,0.13448,0.10642,0.03062,2.63881,2.35687,1.87521,0.000854359,0.000854359,0.000854359
16,374.117,2.3402,2.45497,1.53874,0.55035,0.12069,0.10843,0.042,2.56666,2.63044,1.88308,0.000836027,0.000836027,0.000836027
